,id,answer_text,student_id,assigned_grade,question_id,cluster_id,override_grade,override_feedback,rule_strings,outlier_score,concept_scores,sbert_0.5,sbert_0.6,sbert_0.7,sbert_0.8,spacy_0.5,spacy_0.6,spacy_0.7,spacy_0.8,tfidf_0.5,tfidf_0.6,tfidf_0.7,tfidf_0.8,chatgpt_classified_rubric
0,4112,"We want to be able to send, request, and receive data from a server without blocking other parts of the interface",32722286,2.0,35,4,,,"[[152, ""\u2714\ufe0f Sentence: We can change a page without reloading it and send, request, and receive data from a server without blocking the rest of your interface. -> Similarity: 0.45""]]",0.3301009237766266,[],True,True,False,False,False,False,False,False,False,False,False,False,Y
1,4088,"We have to wait for certain data to load (i.e. response of api call), so it pauses execution while this data is missing.",93380072,0.0,35,1,,,[],0.3449758291244507,[],False,False,False,False,False,False,False,False,False,False,False,False,N
2,4142,We want to execute some instructions without blocking other lines of code. ,64228761,1.0,35,1,,,[],0.41267484426498413,[],True,False,False,False,False,False,False,False,False,False,False,False,Y
3,3613,"Make sure the program can respond to other tasks while a long task is running, so that it does not have to wait until that task is finished to begin other tasks.",45777910,1.0,35,1,,,[],0.4181101620197296,[],False,False,False,False,False,False,False,False,False,False,False,False,Y
4,4193,This is because it allows for some of the parts of a page to update while others remain the same.,73621972,1.0,35,1,,,[],0.43608802556991577,[],False,False,False,False,False,False,False,False,False,False,False,False,Y
5,3450,"This will allow users to continue to use your website/app, while you work on parts of the website while not interfering with traffic to your website.",62281619,2.0,35,5,,,"[[153, ""\u2714\ufe0f Sentence: This will allow users to continue to use your website/app, while you work on parts of the website while not interfering with traffic to your website. -> Similarity: 1.00""]]",0.43683257699012756,[],False,False,False,False,True,True,False,False,False,False,False,False,Y
6,3480,Because it allow us to modify the website without having to send the data every time a change is made,53093556,1.0,35,5,,,"[[153, ""\u2714\ufe0f Sentence: This will allow users to continue to use your website/app, while you work on parts of the website while not interfering with traffic to your website. -> Similarity: 0.50""]]",0.44150906801223755,[],False,False,False,False,True,False,False,False,True,True,False,False,N
7,3842,"Change a page without reloading it
Send, request and receive data from a server without 
blocking the rest of your interface
",10554446,2.0,35,4,,,"[[152, ""\u2714\ufe0f Sentence: We can change a page without reloading it and send, request, and receive data from a server without blocking the rest of your interface. -> Similarity: 0.90""], [155, ""\u2714\ufe0f Length: 30 words -> Answer Length: 21""], [156, ""\u2714\ufe0f Keyword: blocking -> Matched: blocking, Similarity: 1.00""]]",0.44905903935432434,[],True,True,False,False,False,False,False,False,False,False,False,False,Y
8,3516,"We can partially update the information or other UI elements on a page based on user interaction, without needing to update the entire page every time an element of the DOM changes or the user interacts with it.",30337428,1.0,35,2,,,"[[152, ""\u2714\ufe0f Sentence: We can change a page without reloading it and send, request, and receive data from a server without blocking the rest of your interface. -> Similarity: 0.33""]]",0.4892009496688843,[],True,True,True,False,True,True,True,False,True,True,True,True,Y
9,3207,"– Change a page without reloading it
– Send, request and receive data from a server without blocking the rest of your interface",17218361,2.0,35,4,,,"[[152, ""\u2714\ufe0f Sentence: We can change a page without reloading it and send, request, and receive data from a server without blocking the rest of your interface. -> Similarity: 0.93""], [155, ""\u2714\ufe0f Length: 30 words -> Answer Length: 23""], [156, ""\u2714\ufe0f Keyword: blocking -> Matched: blocking, Similarity: 1.00""]]",0.4922524094581604,[],True,True,True,False,False,False,False,False,False,False,False,False,Y
10,3929,This way you don't have to wait for things to happen to update other separate parts of a webpage/app.,53045069,1.0,35,7,,,"[[153, ""\u2714\ufe0f Sentence: This will allow users to continue to use your website/app, while you work on parts of the website while not interfering with traffic to your website. -> Similarity: 0.55""]]",0.5138096213340759,[],False,False,False,False,False,False,False,False,False,False,False,False,Y
